Latitude,Longitude
48.66746763,2.236113089
24.77750974,121.000852
47.39533077,8.166240327
23.140675,120.3042947
47.39533077,8.166240327
24.71097001,120.91375
47.39533077,8.166240327
24.76840199,121.0274121
23.10660002,120.28805
35.7538557,139.933188
24.22472,120.62889
35.7538557,139.933188
59.40472999,17.94943997
24.76432475,121.0229655
23.11667,113.25
58.59016,16.17662998
24.77880999,121.00256
24.71094,120.91285
42.271105,-83.73451
34.68105516,137.7827384
42.47487,-71.14927
24.47979,118.08187
36.05340166,140.1188387
24.77434137,121.047969
36.06872344,140.1349786
31.362919,120.411705
36.06239511,140.1329906
42.92366887,-77.31232452
40.28079562,-74.55414486
37.50278451,138.8646452
37.49034602,-121.932559
1.377924239,103.8724862
46.9759549,15.3969984
1.374200704,103.9289671
42.53155238,-71.14668975
52.62709932,-8.656673421
45.59901064,-122.4520524
37.42796098,-121.893751
45.548035,-122.930715
37.40991701,-121.947666
37.37892199,-121.971864
24.78176,121.00492
29.64383901,-95.56869201
41.72470534,-87.971577
24.90087,121.04782
24.86001001,121.01466
39.02844864,-76.96330207
32.57732554,131.6726837
32.5989094,131.6731688
32.5989094,131.6731688
35.14145315,138.6831449
24.78197,121.00557
31.175234,121.40771
31.175234,121.40771
31.175234,121.40771
56.13037,40.41007
23.10603001,120.2798
22.99124,120.18476
42.57815438,-70.91093297
37.401459,-121.915538
42.703976,-71.44695702
39.80567,116.41721
37.385045,-121.94589
37.481541,-121.937112
35.91677407,-78.87008698
52.42877,13.53408002
59.41027998,17.8264
33.10162,-96.67449
34.426905,-119.868882
37.51344902,-121.978454
35.90038201,-78.84273599
38.98934002,-77.44230898
59.41060001,17.82653
35.91832201,-78.87483398
33.55636246,-96.60825856
35.90243219,-78.83988062
52.45473998,13.52719001
35.90038201,-78.84273599
35.01502513,136.6096747
43.14246701,-75.23549617
35.90038201,-78.84273599
55.70600998,37.72582997
42.75317899,-73.69636043
35.86760577,139.9757964
39.69174,123.07764
38.64451418,-121.4075951
1.351538427,103.9667143
34.99637506,137.0056561
39.21018695,141.077546
35.12330625,137.074454
34.85033469,137.1736145
34.85033469,137.1736145
37.91817902,-122.350769
31.173218,121.4083
31.173218,121.4083
31.22222,121.45806
40.75803684,-73.56304056
47.87410999,7.645119973
46.17176477,15.05405652
39.77342762,140.05685
51.17013998,4.462379993
38.91222,121.60222
32.39722,119.43583
13.72981971,100.7690246
51.49327999,7.403970019
51.43148,6.76355
47.01159342,7.001877719
34.08206301,-118.1452388
37.47101601,-121.936405
37.38696602,-122.035878
30.880844,121.81543
33.396019,-111.973372
56.01185773,37.19183919
50.95360001,5.352410034
23.09274,120.26237
31.921757,117.303505
24.77762001,120.99606
24.77701002,120.99005
24.78064001,120.99666
24.77334943,121.0015489
24.77309998,121.02222
24.77798999,120.98667
24.77309998,121.02506
35.01502513,136.6096747
35.01502513,136.6096747
35.01502513,136.6096747
35.01502513,136.6096747
35.01502513,136.6096747
35.01502513,136.6096747
35.01502513,136.6096747
39.33923364,141.1257774
35.01502513,136.6096747
35.01502513,136.6096747
35.01502513,136.6096747
39.33923364,141.1257774
37.43288,-121.89694
47.93479899,-122.266781
23.059856,113.0513
51.12575001,13.78457999
52.51639999,13.32522998
48.02769998,7.845149985
49.57084,11.02991
49.57084,11.02991
51.4293,6.794269964
51.42831999,6.797630017
51.12575001,13.78457999
51.12688999,13.73445998
31.301651,121.50557
40.81557571,140.4626646
36.22337438,137.9874259
5.418224328,100.5667451
36.22337438,137.9874259
35.64977715,138.4479905
24.86572001,121.02292
24.90087,121.04782
51.48912998,7.401410018
36.58139903,140.0111684
44.98757498,-93.43231203
44.98757498,-93.43231203
47.67054,-122.09697
47.67054,-122.09697
44.98757498,-93.43231203
32.95948198,-96.71139503
34.04362999,-118.695829
30.619003,114.13847
31.246656,121.62268
31.205757,121.60603
31.56887,120.28857
31.206917,121.607864
30.64353,114.32472
29.99457,120.57633
32.39722,119.43583
41.07362308,-73.81466546
41.21614499,-73.80613416
47.30990426,8.544551324
52.31834999,14.49303998
47.36245406,8.515570056
40.63246499,-74.50336302
40.15988701,-88.27142597
40.15988701,-88.27142597
50.852705,4.688898096
50.852705,4.688898096
50.86548999,4.679370031
34.436404,-119.846489
34.436404,-119.846489
46.5962743,13.85529835
49.02261001,12.05329001
33.382946,-111.843676
30.21740501,-97.72413303
51.10395999,13.77516996
46.5962743,13.85529835
33.499203,-117.164529
51.10395999,13.77516996
51.10395999,13.77516996
51.10395999,13.77516996
51.10395999,13.77516996
5.359285039,100.5825701
46.5962743,13.85529835
5.42277,100.59807
46.5962743,13.85529835
46.5962743,13.85529835
46.5962743,13.85529835
36.22337438,137.9874259
36.22337438,137.9874259
36.22337438,137.9874259
25.471346,119.1772
25.976316,119.22584
37.36765901,-121.964214
31.76463,119.94094
33.81612099,-118.345003
42.81239,-73.94122
42.82633989,-73.87881753
38.97062499,-77.49061699
23.11873999,120.27476
23.11713,120.27825
23.11713,120.27825
31.37674,120.95463
24.92625001,121.15901
55.71432001,13.21456003
28.15,113.63333
44.47895502,-73.10072101
1.436110614,103.7664176
51.12685998,13.71869999
41.54446124,-73.8713035
1.436110614,103.7664176
51.12685998,13.71869999
48.36098,-107.87406
48.36098,-107.87406
42.95731775,-73.76050856
42.77772301,-71.25087496
22.58333,113.08333
36.83798,118.02865
34.74779446,137.7734411
34.74998499,137.7777628
34.74998499,137.7777628
34.82963965,137.7409478
34.70090996,137.79278
30.29365,120.16142
30.29365,120.16142
41.85583,123.92333
31.90343,120.62228
37.42597099,-121.891222
44.584293,-123.243294
44.584293,-123.243294
1.282541785,103.807288
24.51333,117.65556
35.83862499,-78.81228898
24.78274001,121.00147
24.22582,120.62855
24.16324,120.64821
37.61670642,140.9803442
36.50751834,140.6215116
36.50751834,140.6215116
-33.8369758,151.0376271
28.68507,115.89531
48.49526002,9.192690034
48.49526002,9.192690034
-37.93082585,145.138603
48.49526002,9.192690034
48.49526002,9.192690034
51.05363,13.74081
28.289403,-81.37789499
37.70450599,-121.803679
30.7522,120.75
40.52634201,-105.012712
1.440538858,103.8413254
40.54458401,-75.65557799
1.28216,103.80763
40.52634201,-105.012712
40.52660298,-105.017509
40.52660298,-105.017509
40.86634709,-72.87202057
53.23412,34.357
37.470093,-121.920123
45.44685801,-75.62277097
35.37812645,139.3692876
35.42011468,139.4095979
37.74129551,140.4034841
33.22765481,131.7062149
35.529805,139.6894086
23.11667,113.25
28.62732001,77.13605997
-30.08322001,-51.13204004
24.16513,120.63394
31.86389,117.28083
24.63882,118.23607
28.693466,115.81655
30.6719,104.0758
30.6719,104.0758
38.05439,114.457214
31.579388,120.30252
24.95555,121.16772
35.502223,138.8285492
10.85773,106.78771
46.76430896,6.642640869
43.12398198,-89.33193
31.571442,120.271034
31.579388,120.30252
29.597622,106.35664
31.579388,120.30252
31.56887,120.28857
29.56278,106.55278
63.42207166,10.43777456
37.144331,-121.653182
24.76432475,121.0229655
41.92963999,12.59687998
60.20351254,24.6539555
55.99839,38.31785
24.43883,54.62003
57.63301,39.88606
42.72770098,-71.43321204
1.290228703,103.7794768
45.50212698,-122.824626
1.290228703,103.7794768
33.74534001,-118.03771
